user_id,corporation,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
ufaa37b18598a,Poseidon,6,2,10,33.33,1.667,目空一切,Poseidon,Poseidon
ufaa37b18598a,Robinson Industries (breakthrough),4,2,6,50.0,1.5,目空一切,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
ufaa37b18598a,Sagitta Frontier Services,11,7,15,63.64,1.364,目空一切,Sagitta Frontier Services,Sagitta Frontier Services
ufaa37b18598a,Saturn Systems,5,3,7,60.0,1.4,目空一切,Saturn Systems,Saturn Systems
ufaa37b18598a,Septem Tribus,7,6,8,85.71,1.143,目空一切,Septem Tribus,Septem Tribus
ufaa37b18598a,Spire,6,1,11,16.67,1.833,目空一切,Spire,Spire
ufaa37b18598a,Splice (breakthrough),7,2,12,28.57,1.714,目空一切,Splice (breakthrough),Splice (breakthrough)
ufaa37b18598a,Teractor (breakthrough),10,3,17,30.0,1.7,目空一切,Teractor (breakthrough),Teractor (breakthrough)
ufaa37b18598a,Tharsis_republic (breakthrough),4,2,6,50.0,1.5,目空一切,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
ufaa37b18598a,Thorgate (breakthrough),4,1,7,25.0,1.75,目空一切,Thorgate (breakthrough),Thorgate (breakthrough)
ufaa37b18598a,Tycho Magnetics,7,5,9,71.43,1.286,目空一切,第谷磁力,第谷磁力
ufaa37b18598a,UNMI (breakthrough),2,1,3,50.0,1.5,目空一切,UNMI (breakthrough),UNMI (breakthrough)
ufaa37b18598a,Valley Trust (breakthrough),10,6,14,60.0,1.4,目空一切,Valley Trust (breakthrough),Valley Trust (breakthrough)
ufaa37b18598a,Viron (breakthrough),10,4,16,40.0,1.6,目空一切,Viron (breakthrough),Viron (breakthrough)
ufaa37b18598a,Vitor,13,8,18,61.54,1.385,目空一切,Vitor,Vitor
ufafd61c681cf,Helion,2,2,2,100.0,1.0,ma,Helion,Helion
ufafd61c681cf,Interplanetary Cinematics,2,2,2,100.0,1.0,ma,Interplanetary Cinematics,Interplanetary Cinematics
ufafd61c681cf,Thorgate,2,2,2,100.0,1.0,ma,Thorgate,Thorgate
ufc061de9e7c9,Cheung Shing MARS,2,1,3,50.0,1.5,戦わなければ死ぬ,Cheung Shing MARS,Cheung Shing MARS
ufc061de9e7c9,Point Luna,2,2,2,100.0,1.0,戦わなければ死ぬ,Point Luna,Point Luna
ufc061de9e7c9,Poseidon,3,3,3,100.0,1.0,戦わなければ死ぬ,Poseidon,Poseidon
ufc061de9e7c9,Saturn Systems,2,2,2,100.0,1.0,戦わなければ死ぬ,Saturn Systems,Saturn Systems
ufc061de9e7c9,Teractor,2,1,3,50.0,1.5,戦わなければ死ぬ,Teractor,Teractor
ufc061de9e7c9,Valley Trust,2,1,3,50.0,1.5,戦わなければ死ぬ,Valley Trust,Valley Trust
ufc8f31a33abe,Factorum,2,2,2,100.0,1.0,hcyg,Factorum,Factorum
ufc8f31a33abe,Interplanetary Cinematics,2,2,2,100.0,1.0,hcyg,Interplanetary Cinematics,Interplanetary Cinematics
ufd33cb2ec87a,Valley Trust,2,2,2,100.0,1.0,sky,Valley Trust,Valley Trust
