card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Sponsored Mohole,39,27,1.3076923076923077,164.2051282051282,51.0,39,1.5510204081632653,69.23,莫霍计划赞助,莫霍计划赞助
Earth Embassy,37,26,1.2972972972972974,237.83783783783784,48.0,37,1.553191489361702,70.27,地球大使馆,地球大使馆
Deep Lunar Mining,62,37,1.403225806451613,198.0,87.0,62,1.5555555555555556,59.68,月球深度挖掘,月球深度挖掘
Spin-Inducing Asteroid,265,127,1.5207547169811322,159.2377358490566,403.0,265,1.5563636363636364,47.92,自旋牵引陨石,自旋牵引陨石
Desperate Measures,76,43,1.4342105263157894,153.43421052631578,109.0,76,1.558139534883721,56.58,绝望措施,绝望措施
Colonial Envoys,58,35,1.396551724137931,167.39655172413794,81.0,58,1.5588235294117647,60.34,殖民特使,殖民特使
Luna Project Office,58,35,1.396551724137931,188.0,81.0,58,1.5588235294117647,60.34,月球项目办公室,月球项目办公室
Aristarchus Road Network,49,31,1.3673469387755102,190.0612244897959,67.0,49,1.5593220338983051,63.27,阿里斯塔克斯街道网络,阿里斯塔克斯街道网络
Martian Media Center,86,47,1.4534883720930232,170.8139534883721,125.0,86,1.5625,54.65,火星媒体中心,火星媒体中心
Mare Nubium Mine,77,43,1.4415584415584415,180.62337662337663,111.0,77,1.5632183908045978,55.84,云海矿山,云海矿山
"Staging Station ""Behemoth""",43,28,1.3488372093023255,209.04651162790697,58.0,43,1.5660377358490567,65.12,"Staging Station ""Behemoth""","Staging Station ""Behemoth"""
Geodesic Tents,50,31,1.38,193.86,69.0,50,1.5666666666666667,62.0,地球仪形帐篷,地球仪形帐篷
Banned Delegate,78,43,1.4487179487179487,181.17948717948718,113.0,78,1.5681818181818181,55.13,违法代表,违法代表
L.T.F. Headquarters,48,30,1.375,196.83333333333334,66.0,48,1.5689655172413792,62.5,L.T.F.总部,L.T.F.总部
Hypersensitive Silicon Chip Factory,25,20,1.2,248.52,30.0,25,1.5714285714285714,80.0,超敏感硅芯片工厂,超敏感硅芯片工厂
Sphere Habitats,44,28,1.3636363636363635,220.0909090909091,60.0,44,1.5740740740740742,63.64,球形栖息地,球形栖息地
Grand Luna Academy,44,28,1.3636363636363635,232.5681818181818,60.0,44,1.5740740740740742,63.64,大月球学院,大月球学院
Lobby Halls,84,45,1.4642857142857142,177.46428571428572,123.0,84,1.574468085106383,53.57,议会大厅,议会大厅
Luna Archives,52,31,1.4038461538461537,203.78846153846155,73.0,52,1.5806451612903225,59.62,月球档案,月球档案
Flat Mars Theory,74,40,1.4594594594594594,139.02702702702703,108.0,74,1.5833333333333333,54.05,火星平面理论,火星平面理论
Parliament Hall,98,50,1.489795918367347,161.23469387755102,146.0,98,1.5833333333333333,51.02,议会大厅,议会大厅
Cultural Metropolis,127,62,1.5118110236220472,159.03937007874015,192.0,127,1.583941605839416,48.82,多元化都市,多元化都市
Habitat 14,43,27,1.372093023255814,187.41860465116278,59.0,43,1.5849056603773586,62.79,第14号栖息地,第14号栖息地
Frontier Town,104,52,1.5,159.77884615384616,156.0,104,1.587719298245614,50.0,边疆小镇,边疆小镇
Syndicate Pirate Raids,34,23,1.3235294117647058,221.88235294117646,45.0,34,1.5909090909090908,67.65,辛迪加海盗袭击,辛迪加海盗袭击
Law Suit,296,130,1.5608108108108107,158.09459459459458,462.0,296,1.591503267973856,43.92,诉讼,诉讼
High Temp. Superconductors,44,27,1.3863636363636365,182.54545454545453,61.0,44,1.5925925925925926,61.36,超导体改进,超导体改进
Improved Moon Concrete,37,24,1.3513513513513513,209.0,50.0,37,1.5957446808510638,64.86,改良月球混凝土,改良月球混凝土
AI Controlled Mine Network,42,26,1.380952380952381,202.88095238095238,58.0,42,1.5961538461538463,61.9,AI控制采矿网络,AI控制采矿网络
Mare Serenitatis Mine,62,34,1.4516129032258065,168.16129032258064,90.0,62,1.5972222222222223,54.84,澄海矿山,澄海矿山
Jovian Envoys,115,55,1.5217391304347827,160.0695652173913,175.0,115,1.6,47.83,木星来使,木星来使
Water Treatment Complex,35,23,1.3428571428571427,220.22857142857143,47.0,35,1.6,65.71,水处理建筑群,水处理建筑群
L.T.F. Privileges,23,18,1.2173913043478262,267.4347826086956,28.0,23,1.606060606060606,78.26,L.T.F.特权,L.T.F.特权
Thorium Rush,49,28,1.4285714285714286,187.42857142857142,70.0,49,1.6101694915254237,57.14,钍金属狂潮,钍金属狂潮
Sinus Irdium Road Network,49,28,1.4285714285714286,203.3469387755102,70.0,49,1.6101694915254237,57.14,彩虹湾高速路网,彩虹湾高速路网
Orbital Laser Drill,26,19,1.2692307692307692,151.07692307692307,33.0,26,1.6111111111111112,73.08,轨道激光钻,轨道激光钻
Lunar Dust Processing Plant,44,26,1.4090909090909092,216.36363636363637,62.0,44,1.6111111111111112,59.09,月球灰处理厂,月球灰处理厂
Colonist Shuttles,34,22,1.3529411764705883,197.8235294117647,46.0,34,1.6136363636363635,64.71,殖民者穿梭机,殖民者穿梭机
Subterranean Habitats,29,20,1.3103448275862069,224.20689655172413,38.0,29,1.6153846153846154,68.97,地下栖息地,地下栖息地
Luna Train Station,29,20,1.3103448275862069,249.79310344827587,38.0,29,1.6153846153846154,68.97,月球火车站,月球火车站
Lava Flows,87,42,1.5172413793103448,141.73563218390805,132.0,87,1.6185567010309279,48.28,熔岩流,熔岩流
Luna Conference,19,16,1.1578947368421053,233.57894736842104,22.0,19,1.6206896551724137,84.21,月球会议,月球会议
The Womb,30,20,1.3333333333333333,251.7,40.0,30,1.625,66.67,起源之城,起源之城
Momentum Virium Habitat,46,26,1.434782608695652,183.7391304347826,66.0,46,1.625,56.52,动能居住舱,动能居住舱
Martian Embassy,22,17,1.2272727272727273,244.4090909090909,27.0,22,1.625,77.27,火星大使馆,火星大使馆
Algae Bioreactors,39,23,1.4102564102564104,187.53846153846155,55.0,39,1.6326530612244898,58.97,藻类生物反应器,藻类生物反应器
Lunar Security Stations,26,18,1.3076923076923077,215.07692307692307,34.0,26,1.6388888888888888,69.23,月球安检站,月球安检站
Luna Political Institute,29,19,1.3448275862068966,196.48275862068965,39.0,29,1.641025641025641,65.52,月球政治研究所,月球政治研究所
Iron Extraction Center,29,19,1.3448275862068966,239.93103448275863,39.0,29,1.641025641025641,65.52,冶铁中心,冶铁中心
Steel Market Monopolists,24,17,1.2916666666666667,236.66666666666666,31.0,24,1.6470588235294117,70.83,钢铁市场垄断者,钢铁市场垄断者
Rover Drivers Union,33,20,1.393939393939394,223.06060606060606,46.0,33,1.6511627906976745,60.61,流浪者司机工会,流浪者司机工会
Tycho Road Network,50,25,1.5,181.0,75.0,50,1.6666666666666667,50.0,泰科街道网络,泰科街道网络
Stem Field Subsidies,18,14,1.2222222222222223,186.77777777777777,22.0,18,1.6785714285714286,77.78,STEM领域补贴,STEM领域补贴
Titanium Extraction Center,25,16,1.36,230.44,34.0,25,1.6857142857142857,64.0,钛提取中心,钛提取中心
HE3 Fusion Plant,22,15,1.3181818181818181,208.6818181818182,29.0,22,1.6875,68.18,HE3聚变能发电站,HE3聚变能发电站
Darkside Incubation Plant,55,25,1.5454545454545454,186.83636363636364,85.0,55,1.6923076923076923,45.45,暗面孵化设施,暗面孵化设施
Grey Market Exploitation,17,13,1.2352941176470589,161.11764705882354,21.0,17,1.7037037037037037,76.47,灰市剥削,灰市剥削
Tunnel Boring Machine,17,13,1.2352941176470589,176.58823529411765,21.0,17,1.7037037037037037,76.47,隧道掘进机,隧道掘进机
Forest Tunnels,17,13,1.2352941176470589,176.94117647058823,21.0,17,1.7037037037037037,76.47,森林隧道,森林隧道
Underground Amusement Park,21,14,1.3333333333333333,151.38095238095238,28.0,21,1.7096774193548387,66.67,地下游乐园,地下游乐园
Mooncrate Block Factory,28,16,1.4285714285714286,242.60714285714286,40.0,28,1.7105263157894737,57.14,月球坑采石场,月球坑采石场
Guerilla Ecologists,16,12,1.25,192.5,20.0,16,1.7307692307692308,75.0,游击生态学家,游击生态学家
Behold The Emperor! (III),21,13,1.380952380952381,203.61904761904762,29.0,21,1.7419354838709677,61.9,Behold The Emperor! (III),Behold The Emperor! (III)
Aerial Lenses,21,13,1.380952380952381,152.33333333333334,29.0,21,1.7419354838709677,61.9,对空透镜,对空透镜
Red Appeasement,49,20,1.5918367346938775,141.08163265306123,78.0,49,1.7457627118644068,40.82,红色和解,红色和解
Heavy Duty Rovers,22,13,1.4090909090909092,227.54545454545453,31.0,22,1.75,59.09,重型漫游车,重型漫游车
Mining Market Insider,14,11,1.2142857142857142,146.71428571428572,17.0,14,1.75,78.57,矿业市场内幕,矿业市场内幕
Titanium Market Monopolists,18,12,1.3333333333333333,268.8888888888889,24.0,18,1.75,66.67,钛市场垄断者,钛市场垄断者
