user_id,total_games,total_wins,total_position_sum,total_score_sum,total_generations_sum,total_tr_sum,total_cards_played_sum,tr_games,cards_games,avg_position,avg_score,avg_generations,avg_tr,avg_cards_played,min_score,max_score,min_position,win_rate,user_name
udcb14230a6a1,8,3,20,717,63,268.0,335.0,8,8,2.5,89.62,7.88,33.5,41.88,57,146,1,37.5,mmbk
u92bf39c22a39,8,0,27,510,45,222.0,217.0,8,8,3.375,63.75,5.62,27.75,27.12,40,85,2,0.0,savingnoob
uf3e8fefbfd8c,8,1,25,584,54,240.0,296.0,8,8,3.125,73.0,6.75,30.0,37.0,35,121,1,12.5,obama
u35b1929863b3,8,1,20,598,43,289.0,237.0,8,8,2.5,74.75,5.38,36.12,29.62,55,94,1,12.5,厕所游泳
uc709b05827b6,8,3,17,741,46,284.0,370.0,8,8,2.125,92.62,5.75,35.5,46.25,62,184,1,37.5,时尘
84892b708d36,8,1,22,622,51,264.0,225.0,7,7,2.75,77.75,6.38,37.71,32.14,49,101,1,12.5,wjy吴才
ub96e5575a6e5,8,0,25,560,75,264.0,217.0,8,8,3.125,70.0,9.38,33.0,27.12,59,92,2,0.0,马保国
1e6dac6d16e2,8,4,17,1000,57,365.0,534.0,8,8,2.125,125.0,7.12,45.62,66.75,74,231,1,50.0,yuan
u31c9c3e54b88,8,1,24,575,48,175.0,314.0,6,6,3.0,71.88,6.0,29.17,52.33,33,137,1,12.5,repeatingcat
2d6fc80f3e8b,8,3,18,740,59,248.0,356.0,7,7,2.25,92.5,7.38,35.43,50.86,26,175,1,37.5,彩虹
ua9206bb2fd0c,7,5,11,576,54,203.0,268.0,7,7,1.571,82.29,7.71,29.0,38.29,55,121,1,71.43,阴奉阳we
u9ee1b6a74d6b,7,1,24,412,41,213.0,171.0,7,7,3.429,58.86,5.86,30.43,24.43,47,86,1,14.29,归心
uc5e60fb3bd20,7,4,11,639,39,266.0,261.0,7,7,1.571,91.29,5.57,38.0,37.29,72,122,1,57.14,红高粱
ue9633562bdcb,7,1,16,563,45,242.0,230.0,7,7,2.286,80.43,6.43,34.57,32.86,61,120,1,14.29,scp5637
2f48d358bdc1,7,0,25,519,56,252.0,262.0,7,7,3.571,74.14,8.0,36.0,37.43,57,110,2,0.0,dddzzz
7d4b2bcea3b2,7,0,22,412,34,208.0,172.0,7,7,3.143,58.86,4.86,29.71,24.57,38,87,2,0.0,fenyue
u605ccd3686c6,7,5,9,572,64,267.0,257.0,7,7,1.286,81.71,9.14,38.14,36.71,66,110,1,71.43,扭曲怪
u60eaee43b548,7,3,16,603,63,227.0,245.0,7,7,2.286,86.14,9.0,32.43,35.0,60,110,1,42.86,dzk
ud698d288529a,7,4,11,680,63,224.0,302.0,7,7,1.571,97.14,9.0,32.0,43.14,63,124,1,57.14,xiakejuny
ubcea0bd5ffdc,7,1,20,540,65,212.0,180.0,7,7,2.857,77.14,9.29,30.29,25.71,59,94,1,14.29,royfrost
