card_name,players,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Asteroid Deflection System,2.0,430,242,1.4372093023255814,202.42093023255813,618.0,430,1.4386363636363637,56.28,小行星防卫系统,小行星防卫系统
Asteroid Deflection System,3.0,190,81,1.831578947368421,115.02631578947368,348.0,190,1.84,42.63,小行星防卫系统,小行星防卫系统
Asteroid Deflection System,4.0,762,237,2.3648293963254594,85.94488188976378,1802.0,762,2.366580310880829,31.1,小行星防卫系统,小行星防卫系统
Asteroid Deflection System,5.0,19,5,2.526315789473684,87.94736842105263,48.0,19,2.5172413793103448,26.32,小行星防卫系统,小行星防卫系统
Asteroid Hollowing,2.0,132,83,1.371212121212121,254.4318181818182,181.0,132,1.380281690140845,62.88,行星挖掘,行星挖掘
Asteroid Hollowing,3.0,58,16,2.1206896551724137,108.3103448275862,123.0,58,2.1029411764705883,27.59,行星挖掘,行星挖掘
Asteroid Hollowing,4.0,84,17,2.7857142857142856,79.82142857142857,234.0,84,2.75531914893617,20.24,行星挖掘,行星挖掘
Asteroid Mining,2.0,570,320,1.4385964912280702,196.31578947368422,820.0,570,1.4396551724137931,56.14,小行星采矿,小行星采矿
Asteroid Mining,3.0,278,104,1.8776978417266188,114.34532374100719,522.0,278,1.8819444444444444,37.41,小行星采矿,小行星采矿
Asteroid Mining,4.0,933,258,2.4737406216505895,86.05251875669882,2308.0,933,2.4740190880169672,27.65,小行星采矿,小行星采矿
Asteroid Mining,5.0,20,5,2.85,79.95,57.0,20,2.7333333333333334,25.0,小行星采矿,小行星采矿
Asteroid Mining Consortium,2.0,518,326,1.3706563706563706,200.9903474903475,710.0,518,1.3731060606060606,62.93,行星采矿财团,行星采矿财团
Asteroid Mining Consortium,3.0,255,107,1.8235294117647058,113.11764705882354,465.0,255,1.830188679245283,41.96,行星采矿财团,行星采矿财团
Asteroid Mining Consortium,4.0,845,245,2.442603550295858,87.32426035502958,2064.0,845,2.4432748538011695,28.99,行星采矿财团,行星采矿财团
Asteroid Mining Consortium,5.0,29,7,2.9655172413793105,78.75862068965517,86.0,29,2.8461538461538463,24.14,行星采矿财团,行星采矿财团
Asteroid Resources,2.0,310,190,1.3870967741935485,206.13225806451612,430.0,310,1.390625,61.29,小行星资源,小行星资源
Asteroid Resources,3.0,94,40,1.797872340425532,115.92553191489361,169.0,94,1.8173076923076923,42.55,小行星资源,小行星资源
Asteroid Resources,4.0,857,283,2.2252042007001167,86.9708284714119,1907.0,857,2.2283737024221453,33.02,小行星资源,小行星资源
Asteroid Resources,5.0,11,1,3.5454545454545454,70.0909090909091,39.0,11,3.0476190476190474,9.09,小行星资源,小行星资源
Asteroid Rights,2.0,626,365,1.4169329073482428,186.4073482428115,887.0,626,1.4182389937106918,58.31,小行星权力,小行星权力
Asteroid Rights,3.0,314,124,1.856687898089172,111.42993630573248,583.0,314,1.8611111111111112,39.49,小行星权力,小行星权力
Asteroid Rights,4.0,1546,487,2.298835705045278,85.65265200517464,3554.0,1546,2.30012853470437,31.5,小行星权力,小行星权力
Asteroid Rights,5.0,33,9,2.787878787878788,79.51515151515152,92.0,33,2.7209302325581395,27.27,小行星权力,小行星权力
Astra Mechanica,2.0,652,431,1.3389570552147239,194.20398773006136,873.0,652,1.3413897280966767,66.1,星械会,星械会
Astra Mechanica,3.0,345,150,1.7942028985507246,114.89565217391305,619.0,345,1.8,43.48,星械会,星械会
Astra Mechanica,4.0,1666,566,2.2376950780312126,87.11704681872749,3728.0,1666,2.2392601431980905,33.97,星械会,星械会
Astra Mechanica,5.0,37,8,2.945945945945946,77.10810810810811,109.0,37,2.851063829787234,21.62,星械会,星械会
Atalanta Planitia Lab,2.0,813,473,1.4182041820418205,181.91512915129152,1153.0,813,1.4191980558930741,58.18,亚特兰大实验室,亚特兰大实验室
Atalanta Planitia Lab,3.0,416,182,1.8149038461538463,114.21634615384616,755.0,416,1.8192488262910798,43.75,亚特兰大实验室,亚特兰大实验室
Atalanta Planitia Lab,4.0,1934,596,2.341261633919338,87.5124095139607,4528.0,1934,2.3420781893004117,30.82,亚特兰大实验室,亚特兰大实验室
Atalanta Planitia Lab,5.0,43,8,3.13953488372093,76.02325581395348,135.0,43,3.018867924528302,18.6,亚特兰大实验室,亚特兰大实验室
Atmo Collectors,2.0,280,156,1.4428571428571428,198.76071428571427,404.0,280,1.4448275862068964,55.71,大气收藏家,大气收藏家
Atmo Collectors,3.0,150,66,1.8133333333333332,108.92666666666666,272.0,150,1.825,44.0,大气收藏家,大气收藏家
Atmo Collectors,4.0,614,168,2.436482084690554,83.06677524429968,1496.0,614,2.4375,27.36,大气收藏家,大气收藏家
Atmo Collectors,5.0,25,6,2.96,77.04,74.0,25,2.8285714285714287,24.0,大气收藏家,大气收藏家
Atmoscoop,2.0,607,382,1.370675453047776,192.3492586490939,832.0,607,1.372771474878444,62.93,大气束缚场,大气束缚场
Atmoscoop,3.0,332,134,1.8493975903614457,112.92771084337349,614.0,332,1.8538011695906433,40.36,大气束缚场,大气束缚场
Atmoscoop,4.0,1420,492,2.1894366197183097,89.30492957746479,3109.0,1420,2.1916083916083915,34.65,大气束缚场,大气束缚场
Atmoscoop,5.0,29,9,2.586206896551724,78.6896551724138,75.0,29,2.5641025641025643,31.03,大气束缚场,大气束缚场
Bactoviral Research,2.0,657,453,1.3105022831050228,198.30593607305937,861.0,657,1.313343328335832,68.95,细菌病毒研究,细菌病毒研究
Bactoviral Research,3.0,339,163,1.7138643067846608,120.15929203539822,581.0,339,1.7220630372492836,48.08,细菌病毒研究,细菌病毒研究
Bactoviral Research,4.0,1354,481,2.1868537666174297,91.39217134416543,2961.0,1354,2.189149560117302,35.52,细菌病毒研究,细菌病毒研究
Bactoviral Research,5.0,30,15,2.033333333333333,91.06666666666666,61.0,30,2.15,50.0,细菌病毒研究,细菌病毒研究
Banned Delegate,2.0,78,43,1.4487179487179487,181.17948717948718,113.0,78,1.4545454545454546,55.13,违法代表,违法代表
Banned Delegate,3.0,43,23,1.744186046511628,118.83720930232558,75.0,43,1.7924528301886793,53.49,违法代表,违法代表
Banned Delegate,4.0,262,82,2.3091603053435112,84.4885496183206,605.0,262,2.3161764705882355,31.3,违法代表,违法代表
Battery Factory,2.0,168,109,1.3511904761904763,205.125,227.0,168,1.3595505617977528,64.88,电池工厂,电池工厂
Battery Factory,3.0,30,16,1.6666666666666667,131.16666666666666,50.0,30,1.75,53.33,电池工厂,电池工厂
Battery Factory,4.0,635,201,2.3653543307086613,89.06771653543306,1502.0,635,2.3674418604651164,31.65,电池工厂,电池工厂
Beam From A Thorium Asteroid,2.0,377,232,1.3846153846153846,212.08753315649867,522.0,377,1.3875968992248062,61.54,钍行星射线,钍行星射线
Beam From A Thorium Asteroid,3.0,150,59,1.8666666666666667,115.73333333333333,280.0,150,1.875,39.33,钍行星射线,钍行星射线
Beam From A Thorium Asteroid,4.0,379,100,2.308707124010554,88.37467018469657,875.0,379,2.3136246786632393,26.39,钍行星射线,钍行星射线
Behemoth Excavator,2.0,17,11,1.3529411764705883,166.94117647058823,23.0,17,1.4074074074074074,64.71,巨兽挖掘机,巨兽挖掘机
Behemoth Excavator,4.0,13,3,2.769230769230769,86.53846153846153,36.0,13,2.652173913043478,23.08,巨兽挖掘机,巨兽挖掘机
Behold The Emperor! (III),2.0,21,13,1.380952380952381,203.61904761904762,29.0,21,1.4193548387096775,61.9,Behold The Emperor! (III),Behold The Emperor! (III)
Behold The Emperor! (III),4.0,73,27,2.1780821917808217,90.43835616438356,159.0,73,2.216867469879518,36.99,Behold The Emperor! (III),Behold The Emperor! (III)
Big Asteroid,2.0,494,300,1.3927125506072875,183.8421052631579,688.0,494,1.3948412698412698,60.73,大型小行星,大型小行星
Big Asteroid,3.0,291,130,1.8006872852233677,109.75601374570446,524.0,291,1.8073089700996678,44.67,大型小行星,大型小行星
Big Asteroid,4.0,1280,393,2.29140625,84.45546875,2933.0,1280,2.2930232558139534,30.7,大型小行星,大型小行星
Big Asteroid,5.0,24,7,2.7916666666666665,78.125,67.0,24,2.7058823529411766,29.17,大型小行星,大型小行星
Bio Printing Facility,2.0,313,190,1.3929712460063899,207.07667731629394,436.0,313,1.3962848297213621,60.7,生物打印设备,生物打印设备
Bio Printing Facility,3.0,134,54,1.8432835820895523,118.58955223880596,247.0,134,1.8541666666666667,40.3,生物打印设备,生物打印设备
Bio Printing Facility,4.0,459,126,2.3616557734204795,87.45533769063181,1084.0,459,2.3646055437100215,27.45,生物打印设备,生物打印设备
Bio Printing Facility,5.0,10,1,3.3,72.0,33.0,10,2.9,10.0,生物打印设备,生物打印设备
Bio-Fertilizer Facility,2.0,474,291,1.3860759493670887,195.54430379746836,657.0,474,1.3884297520661157,61.39,肥料工厂,肥料工厂
Bio-Fertilizer Facility,3.0,109,53,1.6697247706422018,116.46788990825688,182.0,109,1.6974789915966386,48.62,肥料工厂,肥料工厂
Bio-Fertilizer Facility,4.0,1518,511,2.218050065876153,86.38076416337286,3367.0,1518,2.2198952879581153,33.66,肥料工厂,肥料工厂
Bio-Fertilizer Facility,5.0,18,6,2.5,71.66666666666667,45.0,18,2.5,33.33,肥料工厂,肥料工厂
Biobatteries,3.0,10,5,1.7,106.0,17.0,10,1.85,50.0,生物电池,生物电池
Biobatteries,4.0,97,33,2.2783505154639174,84.50515463917526,221.0,97,2.2990654205607477,34.02,生物电池,生物电池
