card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Eos Chasma National Park,1156,407,2.163494809688581,89.68858131487889,2501.0,1156,2.1663807890222984,35.21,Eos 峡谷国家公园,Eos 峡谷国家公园
Anti-Gravity Technology,1384,523,2.1661849710982657,93.43280346820809,2998.0,1384,2.16857962697274,37.79,反重力科技,反重力科技
Floating Refinery,1511,560,2.170086035737922,89.07412309728656,3279.0,1511,2.1722550953320185,37.06,漂浮精炼厂,漂浮精炼厂
Kaguya Tech,1319,473,2.1705837755875663,89.3699772554966,2863.0,1319,2.1730624529721596,35.86,辉夜科技,辉夜科技
Farming,769,255,2.1690507152145644,89.86605981794538,1668.0,769,2.173299101412067,33.16,农业,农业
Narrative Spin,13,6,1.9230769230769231,96.84615384615384,25.0,13,2.1739130434782608,46.15,叙事操控,叙事操控
Metallic Asteroid,1479,524,2.1724137931034484,86.16430020283975,3213.0,1479,2.1746138347884485,35.43,金属陨石,金属陨石
Special Design,530,190,2.169811320754717,91.29245283018868,1150.0,530,2.175925925925926,35.85,特别构思,特别构思
Luxury Estate,1005,363,2.1731343283582087,91.00597014925373,2184.0,1005,2.1763546798029556,36.12,豪华别墅,豪华别墅
Soil Studies,1014,344,2.175542406311637,87.19723865877712,2206.0,1014,2.1787109375,33.93,土壤研究,土壤研究
Red Tourism Wave,794,285,2.177581863979849,88.48614609571788,1729.0,794,2.181592039800995,35.89,红色旅游风潮,红色旅游风潮
Private Resorts,12,5,1.9166666666666667,98.08333333333333,23.0,12,2.1818181818181817,41.67,私人度假村,私人度假村
Hydrogen to Venus,900,329,2.18,90.19888888888889,1962.0,900,2.1835164835164833,36.56,输送氢气到金星,输送氢气到金星
Greenhouses,1691,586,2.1827321111768185,87.95505617977528,3691.0,1691,2.1845972957084068,34.65,温室,温室
Capital:ares,825,285,2.1818181818181817,89.12727272727273,1800.0,825,2.18562874251497,34.55,Capital:ares,Capital:ares
Bactoviral Research,1354,481,2.1868537666174297,91.39217134416543,2961.0,1354,2.189149560117302,35.52,细菌病毒研究,细菌病毒研究
Venus Allies,1195,418,2.186610878661088,91.62845188284518,2613.0,1195,2.1892116182572616,34.98,金星盟友,金星盟友
Bushes,872,309,2.1857798165137616,87.5756880733945,1906.0,872,2.189342403628118,35.44,花丛,花丛
