card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Market Manipulation,1536,622,2.025390625,114.86002604166667,3111.0,1536,0.0,2.0344827586206895,40.49,操控市场,操控市场
Strip Mine,866,329,2.0184757505773674,127.99076212471131,1748.0,866,0.0,2.0345982142857144,37.99,露天矿场,露天矿场
Mining Expedition,959,388,2.0208550573514077,116.57455683003128,1938.0,959,0.0,2.0353892821031345,40.46,矿业探险,矿业探险
Controlled Bloom,1862,753,2.0279269602577874,109.54726100966703,3776.0,1862,0.0,2.035412262156448,40.44,爆破控制,爆破控制
Phobos Space Haven,1631,639,2.0275904353157572,125.02145922746782,3307.0,1631,0.0,2.036122817579771,39.18,福波斯(火卫一)空间港,福波斯(火卫一)空间港
Energy Tapping,1097,431,2.023701002734731,117.14129443938013,2220.0,1097,0.0,2.0363797692990238,39.29,能量开发,能量开发
Protected Valley,1838,702,2.0288356909684437,115.40805223068553,3729.0,1838,0.0,2.0364025695931476,38.19,受保护的山脉,受保护的山脉
Orbital Cleanup,2877,1173,2.0316301703163018,115.55161626694473,5845.0,2877,0.0,2.036463708290334,40.77,轨道清洁,轨道清洁
Peroxide Power,1662,647,2.0282791817087844,116.34356197352587,3371.0,1662,0.0,2.0366430260047284,38.93,过氧化氢能源,过氧化氢能源
Breathing Filters,1945,799,2.0298200514138816,121.7547557840617,3948.0,1945,0.0,2.0369620253164555,41.08,呼吸过滤器,呼吸过滤器
Olympus Conference,3102,1258,2.032882011605416,113.99419729206963,6306.0,3102,0.5090264345583495,2.0373563218390807,40.55,奥林巴斯峰会,奥林巴斯峰会
Mining Area:ares,1839,752,2.0299075584556823,109.72321914083741,3733.0,1839,0.0,2.0374531835205993,40.89,Mining Area:ares,Mining Area:ares
Titan Floating Launch-pad,1694,670,2.0295159386068478,121.20365997638724,3438.0,1694,0.8341204250295159,2.0377030162412995,39.55,泰坦漂浮物起飞平台,泰坦漂浮物起飞平台
Spin-off Department,2397,989,2.032540675844806,118.2503128911139,4872.0,2397,0.0,2.03831891223733,41.26,副产品部门,副产品部门
Power Infrastructure,1235,493,2.0275303643724696,123.74008097165992,2504.0,1235,0.0,2.038735177865613,39.92,电力基础设置,电力基础设置
Ants,2031,801,2.032988675529296,115.68931560807484,4129.0,2031,10.1890694239291,2.039786511402232,39.44,蚂蚁,蚂蚁
Icy Impactors,271,107,1.988929889298893,151.73431734317344,539.0,271,0.45387453874538747,2.0398671096345513,39.48,冰体撞击器,冰体撞击器
Venus University,2399,979,2.034597749062109,117.11754897874114,4881.0,2399,0.0,2.0403458213256482,40.81,金星大学,金星大学
Asteroid Rights,2522,985,2.034892942109437,113.75337034099921,5132.0,2522,0.39492466296590006,2.040360501567398,39.06,小行星权力,小行星权力
Geological Expedition,1582,645,2.0322376738305943,118.4102402022756,3215.0,1582,0.0,2.0409429280397022,40.77,地质探险,地质探险
Interplanetary Alliance,2483,1005,2.0354409987917843,116.94482480869915,5054.0,2483,0.0,2.0409868682849184,40.48,星际联邦,星际联邦
Lunar Beam,1091,443,2.028414298808433,125.51512373968836,2213.0,1091,0.0,2.041034790365745,40.6,月球射线,月球射线
Space Hotels,1878,767,2.034611288604899,123.95580404685836,3821.0,1878,0.0,2.041928721174004,40.84,太空酒店,太空酒店
Lightning Harvest,1940,770,2.0350515463917525,120.79432989690721,3948.0,1940,0.0,2.0421319796954314,39.69,捕获雷电,捕获雷电
Tosche Station (IV),606,243,2.01980198019802,117.6996699669967,1224.0,606,0.0,2.042452830188679,40.1,Tosche Station (IV),Tosche Station (IV)
Building Industries,1073,424,2.0298229263746506,126.90214352283317,2178.0,1073,0.0,2.042611060743427,39.52,建筑行业,建筑行业
Hackers,317,118,2.0,137.3690851735016,634.0,317,0.0,2.043227665706052,37.22,黑客,黑客
Noctis Farming,2196,872,2.0377959927140257,112.80418943533698,4475.0,2196,0.0,2.0440251572327046,39.71,诺提斯农耕,诺提斯农耕
16 Psyche,1907,746,2.037231253277399,123.15993707393812,3885.0,1907,0.0,2.0443985544656686,39.12,灵神星16,灵神星16
Lava Tube Settlement,1403,530,2.0349251603706344,118.87811831789024,2855.0,1403,0.0,2.044661549197488,37.78,熔岩城,熔岩城
Extreme-Cold Fungus,1089,419,2.032139577594123,113.87786960514234,2213.0,1089,0.0,2.0446827524575513,38.48,极寒真菌,极寒真菌
Miranda Resort,2570,1039,2.0396887159533073,115.68521400778211,5242.0,2570,0.0,2.045,40.43,米兰达度假村,米兰达度假村
Asteroid Hollowing,281,117,1.99644128113879,167.39857651245552,561.0,281,4.02491103202847,2.045016077170418,41.64,行星挖掘,行星挖掘
Omnicourt,1846,735,2.037919826652221,120.94366197183099,3762.0,1846,0.0,2.045309168443497,39.82,通用法庭,通用法庭
Red Ships,2452,991,2.0403752039151715,109.50326264274062,5003.0,2452,0.0,2.0459307010475425,40.42,红色舰队,红色舰队
Huygens Observatory,1939,777,2.039195461578133,113.37545126353791,3954.0,1939,0.0,2.0462163534789233,40.07,惠更斯天文台,惠更斯天文台
Starcore Mining,2672,1116,2.042290419161677,115.09244011976048,5457.0,2672,0.0,2.0473723168023685,41.77,星核开采,星核开采
Artificial Photosynthesis,1527,610,2.0386378519973807,124.4800261951539,3113.0,1527,0.0,2.0475272960822095,39.95,人造光合作用,人造光合作用
Rotator Impacts,369,141,2.010840108401084,116.0650406504065,742.0,369,0.14092140921409213,2.0476190476190474,38.21,回旋冲撞,回旋冲撞
Pride of the Earth Arkship,826,340,2.0314769975786926,129.31476997578693,1678.0,826,5.4576271186440675,2.0478971962616823,41.16,地球方舟的骄傲,地球方舟的骄傲
Rego Plastics,2276,871,2.0421792618629175,115.52328646748681,4648.0,2276,0.0,2.0481352992194277,38.27,表土塑料,表土塑料
Specialized Settlement,1598,636,2.0406758448060076,113.87734668335419,3261.0,1598,0.0,2.0491400491400493,39.8,专业定居点,专业定居点
Standard Technology,2071,820,2.04297440849831,116.75325929502655,4231.0,2071,0.0,2.0495002379819134,39.59,标准技术,标准技术
Rad-chem Factory,1780,713,2.042134831460674,118.21179775280899,3635.0,1780,0.0,2.0497237569060776,40.06,辐射化学工厂,辐射化学工厂
Industrial Center:ares,1838,721,2.042437431991295,107.73558215451578,3754.0,1838,0.0,2.0497858672376874,39.23,Industrial Center:ares,Industrial Center:ares
Ishtar Mining,2164,861,2.0439001848428835,117.9547134935305,4423.0,2164,0.0,2.0501367365542387,39.79,伊什塔尔矿业,伊什塔尔矿业
Clone Troopers (II),468,189,2.0213675213675213,127.82478632478633,946.0,468,1.9230769230769231,2.0502008032128516,40.38,Clone Troopers (II),Clone Troopers (II)
Ceres Spaceport,1413,576,2.041047416843595,120.65888181174806,2884.0,1413,0.0,2.0505890505890507,40.76,谷神星太空港,谷神星太空港
Solar Wind Power,2813,1097,2.0465694987557765,112.99857803057235,5757.0,2813,0.0,2.0513542033063663,39.0,太阳风,太阳风
Venus Waystation,3042,1213,2.047008547008547,113.4861932938856,6227.0,3042,0.0,2.0514322916666665,39.88,金星中转站,金星中转站
Gene Repair,2315,935,2.04622030237581,119.40302375809935,4737.0,2315,0.0,2.0520255863539445,40.39,基因修复,基因修复
Wetlands,616,241,2.030844155844156,118.55194805194805,1251.0,616,0.0,2.0526315789473686,39.12,湿地,湿地
Tectonic Stress Power,1469,570,2.0442477876106193,124.21511232130702,3003.0,1469,0.0,2.0533689126084056,38.8,构造应力能源,构造应力能源
Comet for Venus,1614,663,2.0452292441140023,118.3451053283767,3301.0,1614,0.0,2.05352798053528,41.08,飞向金星的彗星,飞向金星的彗星
Space Mirrors,1068,421,2.042134831460674,126.35112359550561,2181.0,1068,0.0,2.0546448087431695,39.42,太空镜,太空镜
Atalanta Planitia Lab,3208,1260,2.050498753117207,114.74064837905237,6578.0,3208,0.0,2.054663372452131,39.28,亚特兰大实验室,亚特兰大实验室
Interplanetary Transport,1503,611,2.0459081836327346,118.04856952761145,3075.0,1503,0.0,2.0547945205479454,40.65,星际运输,星际运输
Takonda Castle (VII),1150,447,2.0434782608695654,109.71565217391304,2350.0,1150,0.0,2.055084745762712,38.87,Takonda Castle (VII),Takonda Castle (VII)
Public Spaceline,1454,605,2.046079779917469,108.34594222833563,2975.0,1454,0.0,2.055256064690027,41.61,公共太空航线,公共太空航线
Convoy From Europa,2208,875,2.0493659420289854,113.52898550724638,4525.0,2208,0.0,2.0554066130473636,39.63,木卫二护航队,木卫二护航队
Rare-Earth Elements,1119,452,2.0437890974084003,121.36550491510278,2287.0,1119,0.0,2.0557006092254135,40.39,稀土元素,稀土元素
Red Tourism Wave,1005,405,2.0427860696517413,99.55323383084577,2053.0,1005,0.0,2.0560386473429952,40.3,红色旅游风潮,红色旅游风潮
Dusk Laser Mining,2623,1027,2.051849027830728,115.15211589782692,5382.0,2623,0.0,2.056916698077648,39.15,黄昏激光矿业,黄昏激光矿业
Energy Supply,1605,649,2.049221183800623,115.24299065420561,3289.0,1605,0.0,2.057492354740061,40.44,电力补给,电力补给
Hired Raiders,2162,828,2.0527289546716005,113.38020351526364,4438.0,2162,0.0,2.0588503649635035,38.3,雇佣掠夺者,雇佣掠夺者
