user_id,generations,game_count,max_score,max_cards_played,avg_score,avg_cards_played,user_name
u7f881dd033c7,10,2,135,80.0,101.5,59.5,hypertai123
u80a09ce69f74,9,3,95,42.0,72.33,33.0,一部分人
u81d5ec6a0a54,7,2,65,21.0,59.0,21.0,alpha7777
u81d5ec6a0a54,8,4,74,42.0,70.5,34.0,alpha7777
u81d5ec6a0a54,9,4,82,37.0,78.75,32.25,alpha7777
u81d5ec6a0a54,10,2,99,42.0,89.5,37.5,alpha7777
u828c525a8dc1,10,1,85,35.0,85.0,35.0,吴文伟
u828c525a8dc1,11,1,92,24.0,92.0,24.0,吴文伟
u832f1fa63eb3,6,2,100,47.0,99.0,47.0,信凛
u832f1fa63eb3,7,2,107,53.0,83.0,39.0,信凛
u8397430f5bfc,3,2,64,36.0,51.0,22.0,云尘
u8397430f5bfc,4,10,105,43.0,65.4,23.6,云尘
u8397430f5bfc,5,49,177,87.0,76.41,32.08,云尘
u8397430f5bfc,6,53,169,109.0,87.85,41.7,云尘
u8397430f5bfc,7,13,141,79.0,104.77,53.62,云尘
u84b335200370,5,1,78,31.0,78.0,31.0,啵啵宇宝宝
u84b335200370,6,1,66,21.0,66.0,21.0,啵啵宇宝宝
u85082c3eee34,7,2,81,19.0,65.0,12.5,jecin
u85082c3eee34,8,4,82,42.0,78.25,36.0,jecin
u85082c3eee34,9,5,79,41.0,58.0,32.5,jecin
u85082c3eee34,10,1,80,49.0,80.0,49.0,jecin
u8542c8ad261c,6,2,78,26.0,72.0,25.0,楓華
u85565a399638,4,1,27,13.0,27.0,13.0,悲灵笑骨
u85565a399638,5,4,68,29.0,65.25,23.25,悲灵笑骨
u85565a399638,6,11,105,49.0,76.91,37.27,悲灵笑骨
u85565a399638,7,3,123,90.0,99.67,58.67,悲灵笑骨
u85990554580c,10,1,64,35.0,64.0,35.0,poidesu3814
u85990554580c,11,3,79,41.0,71.0,32.67,poidesu3814
u866dbae0b617,4,6,76,29.0,62.83,18.83,一桜折纸
u866dbae0b617,5,14,100,45.0,75.14,30.93,一桜折纸
u866dbae0b617,6,25,123,69.0,83.12,35.32,一桜折纸
u866dbae0b617,7,6,138,55.0,95.17,36.33,一桜折纸
u876cab515385,7,2,61,18.0,55.5,18.0,apple
u87f9bc8b918b,5,3,76,39.0,66.67,26.0,不消耗名字的硬币
