corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Gagarin Mobile Base,2,18,8,1.5555555555555556,114.05555555555556,28.0,18,9.555555555555555,1.5357142857142858,44.44,Gagarin Mobile Base,Gagarin Mobile Base
Pharmacy Union,2,44,20,1.5454545454545454,146.97727272727272,68.0,44,10.090909090909092,1.537037037037037,45.45,制药联盟,制药联盟
Intragen Sanctuary Headquarters,2,3,1,1.6666666666666667,157.33333333333334,5.0,3,13.0,1.5384615384615385,33.33,Intragen避难所总部,Intragen避难所总部
Mars Direct,2,3,1,1.6666666666666667,156.33333333333334,5.0,3,10.666666666666666,1.5384615384615385,33.33,火星直通车,火星直通车
🌸Thermopoli🌸,2,3,1,1.6666666666666667,127.0,5.0,3,8.0,1.5384615384615385,33.33,🌸精灵热舞🌸,精灵热舞
Arborist Collective,2,1,0,2.0,77.0,2.0,1,9.0,1.5454545454545454,0.0,树木学家集体,树木学家集体
Jenson-Boyle & Co,2,1,0,2.0,155.0,2.0,1,10.0,1.5454545454545454,0.0,詹森-博伊尔公司,詹森-博伊尔公司
The Grand Luna Capital Group,2,1,0,2.0,115.0,2.0,1,13.0,1.5454545454545454,0.0,大月亮资本集团,大月亮资本集团
Voltagon,2,1,0,2.0,97.0,2.0,1,16.0,1.5454545454545454,0.0,Voltagon,Voltagon
Project Workshop,2,50,22,1.56,159.48,78.0,50,10.04,1.55,44.0,Project Workshop,Project Workshop
🌸Weyland Yutani🌸,2,99,44,1.5555555555555556,149.5151515151515,154.0,99,9.616161616161616,1.5504587155963303,44.44,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
Bio-Sol,2,28,12,1.5714285714285714,117.53571428571429,44.0,28,9.107142857142858,1.5526315789473684,42.86,,
Chimera,2,26,11,1.5769230769230769,131.23076923076923,41.0,26,9.961538461538462,1.5555555555555556,42.31,奇美拉,奇美拉
🌸RDA🌸,2,35,15,1.5714285714285714,119.91428571428571,55.0,35,9.342857142857143,1.5555555555555556,42.86,🌸RDA🌸,RDA
