rank,player_name,matched_user,match_type,occurrences
245,酸奶,酸奶,exact,28
246,悲灵笑骨,悲灵笑骨,exact,27
247,sailij,sailij,exact,27
248,xiaojiang,xiaojiang,exact,27
249,dddylan,dddylan,exact,27
250,啦啦啦,啦啦啦,exact,26
251,草鱼,草鱼,exact,26
252,魏杨刚,魏杨刚,exact,26
253,matrix,matrix,exact,26
254,大坏蛋居居,大坏蛋居居,exact,26
255,鱼见,鱼见,exact,26
256,j89101212,j89101212,exact,26
257,小心小新小星,小心小新小星,exact,25
258,jiaa,jiaa,exact,25
259,bamboozy,bamboozy,exact,25
260,居居,居居,exact,25
261,a522645017,a522645017,exact,25
262,剑皇,剑皇,exact,25
263,esddse1,esddse1,exact,25
264,junne,junne,exact,25
265,杉菜一汤,杉菜一汤,exact,25
266,🐰🐟,🐰🐟,exact,25
267,火星威,火星威,exact,25
268,囧囧打人,囧囧打人,exact,25
269,九方蠡,九方蠡,exact,24
270,红茶,红茶,exact,24
271,monk,monk,exact,24
272,晚钟,晚钟,exact,24
273,汉堡包,汉堡包,exact,24
274,清风拂过,清风拂过,exact,24
275,小水先森,小水先森,exact,24
276,moe,moe,exact,24
277,ys,ys,exact,24
278,maguawang,maguawang,exact,23
279,月色,月色,exact,23
280,我就是我,我就是我,exact,23
281,Maya01,maya01,case_insensitive,23
282,狮哥,狮哥,exact,23
283,wjcxymy,wjcxymy,exact,22
284,星迹,星迹,exact,22
285,枫叶灬夏,枫叶灬夏,exact,22
286,hangrui,hangrui,exact,22
287,甘雨,甘雨,exact,22
288,mzw,mzw,exact,22
289,anan,anan,exact,22
290,darisen,darisen,exact,22
291,银氨溶液,银氨溶液,exact,22
292,杨烁,杨烁,exact,22
293,naf-fly,naf-fly,exact,22
294,efhk,efhk,exact,21
295,小坏蛋铃铛,小坏蛋铃铛,exact,21
296,night,night,exact,21
297,lova,lova,exact,21
298,禾禾,禾禾,exact,21
299,小魏,小魏,exact,21
300,重山,重山,exact,21
301,一个里纳米的,一个里纳米的,exact,21
302,火星猫,火星猫,exact,21
303,frank62214,frank62214,exact,21
304,阴奉阳we,阴奉阳we,exact,21
305,caliloft,caliloft,exact,21
306,青花鱼,青花鱼,exact,21
307,xuty,xuty,exact,20
308,jiang.cc,jiang.cc,exact,20
309,张飞,张飞,exact,20
310,业问,业问,exact,20
311,老李,老李,exact,20
312,1494164074,1494164074,exact,20
313,Echo,echo,case_insensitive,20
314,jz258,jz258,exact,20
315,chiyu001,chiyu001,exact,20
316,fklmgj,fklmgj,exact,20
317,初之晴天,初之晴天,exact,20
318,fyf,fyf,exact,20
319,暗黑绿皮,暗黑绿皮,exact,20
320,红烧珊瑚鱼,红烧珊瑚鱼,exact,19
321,zhulong233,zhulong233,exact,19
322,皮卡丘,皮卡丘,exact,19
323,恰恰,恰恰,exact,19
324,艾蒙中法,艾蒙中法,exact,19
325,alex861504,alex861504,exact,19
326,Raaaay,raaaay,case_insensitive,19
327,深橙浅橙1102,深橙浅橙1102,exact,19
328,xixo,xixo,exact,19
329,langqiu,langqiu,exact,19
330,达达,达达,exact,19
331,Jecin,jecin,case_insensitive,19
332,思锐,思锐,exact,19
333,huasong,Huasong,case_insensitive,19
334,kahala,kahala,exact,19
335,black_UUZ,black_UUZ,exact,19
336,karozz,karozz,exact,19
337,NPCXiGua,NPCXiGua,exact,18
338,羊羊队立大功,羊羊队立大功,exact,18
339,MMPDJ,mmpdj,case_insensitive,18
340,芝士泥鸭,芝士泥鸭,exact,18
341,居居梨,居居梨,exact,18
342,dogfly,dogfly,exact,18
343,kanon,kanon,exact,18
344,arcticus,arcticus,exact,18
345,wuser,wuser,exact,18
346,子忠嘉合,子忠嘉合,exact,18
347,tian8848,tian8848,exact,18
348,alpha7777,alpha7777,exact,18
349,oldfan,oldfan,exact,18
350,fengling,fengling,exact,18
351,yuy,yuy,exact,18
352,zslzsl,zslzsl,exact,18
353,捏麻麻地,捏麻麻地,exact,18
354,城南,城南,exact,18
355,徒手开根号,徒手开根号,exact,18
356,青鸾qwq,青鸾qwq,exact,18
357,小拇指,小拇指,exact,17
358,陆时,陆时,exact,17
359,狗头,狗头,exact,17
360,milky,milky,exact,17
361,pocky,pocky,exact,17
362,xiakejuny,xiakejuny,exact,17
363,羊羊羊,羊羊羊,exact,17
364,汉裔,汉裔,exact,17
365,bellaa,bellaa,exact,17
366,yukikaze,yukikaze,exact,17
367,akhaskj,akhaskj,exact,17
368,xxx,xxx,exact,17
369,osu,osu,exact,17
370,永远,永远,exact,17
371,gezi,gezi,exact,17
372,fenyue,fenyue,exact,17
373,阿莫,阿莫,exact,17
374,星星,星星,exact,17
375,dwdw,dwdw,exact,17
376,芜湖,芜湖,exact,16
377,楓華,楓華,exact,16
378,真香,真香,exact,16
379,nydzsf,nydzsf,exact,16
380,llluuu,llluuu,exact,16
381,joe,joe,exact,16
382,duoyu222,duoyu222,exact,16
383,Kanesiphy,kanesiphy,case_insensitive,16
384,枫叶,枫叶,exact,16
385,皮尔嘶,皮尔嘶,exact,16
386,Kano,kano,case_insensitive,16
387,一部分人,一部分人,exact,16
388,jbhfpku,jbhfpku,exact,16
389,hongquan,hongquan,exact,16
390,eleco,eleco,exact,16
391,星铃2,星铃2,exact,16
392,尼古拉耶维基,尼古拉耶维基,exact,16
393,lizard009,lizard009,exact,16
394,铱星,铱星,exact,15
395,kingofweisuo,kingofweisuo,exact,15
396,franklinChan,FranklinChan,case_insensitive,15
