card_name,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Mohole Lake,350,1.381578947368421,584,2.3583061889250816,莫霍湖,莫霍湖
Magnetic Shield,431,1.3817787418655099,741,2.223086900129702,磁屏,磁屏
Energy Market,564,1.3821548821548821,1562,2.2493718592964824,能源市场,能源市场
Thermophiles,454,1.3822314049586777,1011,2.282420749279539,嗜热菌,嗜热菌
Martian Repository,310,1.3823529411764706,719,2.3684913217623498,火星仓库,火星仓库
Pollinators,221,1.3824701195219125,422,2.2765486725663715,授粉者,授粉者
Protected Valley,471,1.3832335329341316,1107,2.3368513632365877,受保护的山脉,受保护的山脉
Lunar Steel,257,1.3832752613240418,852,2.4036281179138324,月钢,月钢
Communication Center,395,1.383529411764706,633,2.3182503770739067,通讯中心,通讯中心
Border Checkpoint,520,1.3836363636363636,1193,2.356500408830744,边境检查站,边境检查站
Nuclear Zone,129,1.3836477987421383,134,2.2378048780487805,核爆辐射区,核爆辐射区
Space Relay,439,1.3837953091684434,1482,2.4034391534391535,太空中继站,太空中继站
GHG Import From Venus,353,1.3838120104438643,374,2.3044554455445545,从金星导入温室气体,从金星导入温室气体
Supermarkets,345,1.384,736,2.441253263707572,超市,超市
Venusian Insects,675,1.3843971631205674,1796,2.2897042716319826,金星昆虫,金星昆虫
AI Central,716,1.3847184986595173,1329,2.4687270051508463,人工智能核心,人工智能核心
Geological Expedition,378,1.3848039215686274,1079,2.284941388638413,地质探险,地质探险
Ishtar Expedition,666,1.3850574712643677,1691,2.2033701336432308,伊什塔尔远征,伊什塔尔远征
Grass,458,1.3852459016393444,961,2.253279515640767,草,草
Giant Ice Asteroid,419,1.3853006681514477,888,2.2854030501089326,巨冰行星,巨冰行星
Venusian Animals,707,1.3853459972862958,1589,2.2174181593576283,金星动物,金星动物
Jupiter Floating Station,538,1.3855633802816902,1232,2.2916006339144217,木星浮动站,木星浮动站
Ocean Farm,320,1.3857142857142857,993,2.204301075268817,海洋农场,海洋农场
Museum of Early Colonisation,237,1.3857677902621723,433,2.490280777537797,殖民博物馆,殖民博物馆
Botanical Experience,281,1.3858520900321543,970,2.381,植物专业知识,植物专业知识
Penguins,496,1.3859315589353611,1273,2.2854950115118955,企鹅,企鹅
Trees,405,1.3862068965517242,804,2.2050359712230216,树,树
GMO Contract,190,1.3863636363636365,1578,2.263059701492537,转基因生物合约,转基因生物合约
Algae,422,1.3871681415929205,859,2.277840269966254,海藻,海藻
Controlled Bloom,383,1.387409200968523,1343,2.2265112891478513,爆破控制,爆破控制
Mining Expedition,272,1.3874172185430464,521,2.413793103448276,矿业探险,矿业探险
Robotic Workforce,530,1.3875,792,2.4708029197080292,机器人大军,机器人大军
Gene Repair,610,1.3875,1327,2.395725865880619,基因修复,基因修复
Comet for Venus,455,1.3876288659793814,908,2.3891257995735606,飞向金星的彗星,飞向金星的彗星
Earth Office,651,1.3876651982378854,1698,2.2887731481481484,地球办公室,地球办公室
Callisto Penal Mines,509,1.3877551020408163,931,2.420395421436004,木卫四开采法,木卫四开采法
Venus University,578,1.388157894736842,1609,2.300793166564979,金星大学,金星大学
Outdoor Sports,359,1.3881748071979434,756,2.464376590330789,户外运动,户外运动
Cultivation of Venus,374,1.3886138613861385,936,2.198757763975155,金星育种,金星育种
Space Debris Cleaning Operation,446,1.388655462184874,1647,2.3506261180679786,太空垃圾清理,太空垃圾清理
Kelp Farming,464,1.388663967611336,1133,2.244196044711952,养殖海藻,养殖海藻
Diversity Support,289,1.3887147335423198,438,2.0641025641025643,多样性扶持,多样性扶持
Viral Enhancers,739,1.388816644993498,1911,2.2921174652241114,病毒增强,病毒增强
Red Tourism Wave,114,1.3888888888888888,794,2.1893203883495147,红色旅游风潮,红色旅游风潮
Prefabrication of Human Habitats,258,1.3888888888888888,420,2.3733333333333335,房屋预制,房屋预制
Trantor,551,1.3889845094664373,1591,2.338679827267119,川陀,川陀
Lunar Mining,533,1.38898756660746,942,2.3631687242798356,月球挖掘,月球挖掘
Lichen,335,1.389041095890411,662,2.302023121387283,青苔,青苔
Rich Deposits,209,1.389121338912134,418,2.517857142857143,丰富矿藏,丰富矿藏
Cartel,620,1.3892307692307693,1017,2.3543457497612224,同业联盟,同业联盟
Copernicus Solar Arrays,119,1.389261744966443,427,2.5798687089715537,哥白尼太阳能电池,哥白尼太阳能电池
Cloud Tourism,653,1.389458272327965,1370,2.2785714285714285,云端旅游,云端旅游
Corona Extractor,573,1.3897180762852404,965,2.3537688442211055,日冕提取器,日冕提取器
Corroder Suits,596,1.389776357827476,1147,2.3738317757009346,防护服,防护服
Advanced Power Grid,306,1.3898809523809523,685,2.3916083916083917,电网改进,电网改进
Convoy From Europa,570,1.39,1312,2.3837555886736213,木卫二护航队,木卫二护航队
Small Asteroid,467,1.3903420523138832,1050,2.4074074074074074,小型小行星,小型小行星
Huygens Observatory,426,1.3903508771929824,1365,2.2688172043010755,惠更斯天文台,惠更斯天文台
Community Services,249,1.3906810035842294,406,2.467889908256881,社区服务,社区服务
Io Sulphur Research,679,1.3906911142454161,1517,2.318681318681319,木卫一的硫磺研究,木卫一的硫磺研究
Interplanetary Alliance,597,1.390749601275917,1663,2.2787950383933846,星际联邦,星际联邦
Rover Construction,593,1.391653290529695,1738,2.3421945701357467,漫游者建设,漫游者建设
Rad-chem Factory,427,1.3916849015317287,1053,2.355493998153278,辐射化学工厂,辐射化学工厂
Small Animals,335,1.3917808219178083,642,2.2232142857142856,小动物,小动物
Topsoil Contract,751,1.3918053777208708,1904,2.31023784901758,表土合约,表土合约
Terraforming Control Station,511,1.3918669131238448,1663,2.2740696987595985,改造控制站,改造控制站
Tosche Station (IV),118,1.3918918918918919,428,2.2532751091703056,Tosche Station (IV),Tosche Station (IV)
Virus,470,1.392,840,2.3482758620689657,病毒,病毒
Invention Contest,699,1.392318244170096,1778,2.362278761061947,发明竞争,发明竞争
Heather,439,1.392324093816631,851,2.209988649262202,帚石楠,帚石楠
Dusk Laser Mining,681,1.3924050632911393,1549,2.3628879037365422,黄昏激光矿业,黄昏激光矿业
Decomposers,663,1.3924963924963925,1708,2.2600690448791716,分解者,分解者
Stratopolis,375,1.3925925925925926,407,2.3958810068649887,凌云之城,凌云之城
Tropical Resort,324,1.3926553672316384,449,2.288100208768267,热带度假胜地,热带度假胜地
Bio-Fertilizer Facility,474,1.3928571428571428,1518,2.2235142118863047,肥料工厂,肥料工厂
Olympus Conference,751,1.3930857874519846,1916,2.3191161356628984,奥林巴斯峰会,奥林巴斯峰会
