corporation,players,total_games,wins,avg_position,avg_score,avg_generations,win_rate,cn_name,cn_name_plot
The Grand Luna Capital Group,4,1,0,4.0,64.0,8.0,0.0,大月亮资本集团,大月亮资本集团
The Archaic Foundation Institute,4,3,0,3.3333333333333335,85.66666666666667,8.333333333333334,0.0,原始基金会研究所,原始基金会研究所
Nanotech Industries,4,5,0,3.6,72.0,7.8,0.0,纳米技术工业,纳米技术工业
Mars Frontier Alliance,4,4,0,3.5,55.25,5.75,0.0,火星边疆联盟,火星边疆联盟
Luna Trade Federation,4,4,0,2.75,80.25,8.0,0.0,月球贸易联盟,月球贸易联盟
Luna Hyperloop Corporation,4,1,0,4.0,67.0,7.0,0.0,月球超级高速列车,月球超级高速列车
Keplertec,4,1,0,2.0,95.0,6.0,0.0,Keplertec,Keplertec
Kingdom of Tauraro,4,5,0,3.4,72.6,6.8,0.0,陶拉罗王国,陶拉罗王国
Intragen Sanctuary Headquarters,4,1,0,4.0,67.0,7.0,0.0,Intragen避难所总部,Intragen避难所总部
Hotsprings,4,4,0,3.25,70.5,7.5,0.0,Hotsprings,Hotsprings
Demetron Labs,4,2,0,4.0,65.5,8.0,0.0,德米特伦实验室,德米特伦实验室
Crescent Research Association,4,6,0,2.8333333333333335,95.0,8.0,0.0,月牙研究联盟,月牙研究联盟
Anubis Securities,4,1,0,3.0,83.0,7.0,0.0,阿努比斯证券,阿努比斯证券
Voltagon,4,2,0,2.5,81.5,7.0,0.0,Voltagon,Voltagon
