combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
🌸EliteTech🌸 + 🌸Tyrell🌸,21,5,2.5714285714285716,82.85714285714286,54.0,21,2.5483870967741935,23.81,🌸精英回馈🌸 + 🌸泰瑞尔公司🌸
Spire + 🌸EliteTech🌸,21,4,2.5714285714285716,86.52380952380952,54.0,21,2.5483870967741935,19.05,Spire + 🌸精英回馈🌸
Eglogue + 🌸SolarPlant🌸,10,1,2.6,63.0,26.0,10,2.55,10.0,Eglogue + 🌸太阳能公司🌸
Poseidon + Terralabs Research (breakthrough),10,2,2.6,79.6,26.0,10,2.55,20.0,Poseidon + Terralabs Research (breakthrough)
Luna Chain + 🌸Green Ring🌸,10,1,2.6,77.2,26.0,10,2.55,10.0,连月 + 🌸绿环🌸
United Nations Mission One + Vitor,10,3,2.6,82.5,26.0,10,2.55,30.0,United Nations Mission One + Vitor
Celestic (breakthrough) + 🌸StarlinkDrifter🌸,10,1,2.6,73.0,26.0,10,2.55,10.0,Celestic (breakthrough) + 🌸星链漂流者🌸
Poseidon + Prism,10,2,2.6,86.2,26.0,10,2.55,20.0,Poseidon + 棱镜光谱研究室
Factorum (breakthrough) + 🌸Mining Corp🌸,28,8,2.5714285714285716,87.57142857142857,72.0,28,2.5526315789473686,28.57,Factorum (breakthrough) + 🌸钢铁精炼🌸
Interplanetary Cinematics (breakthrough) + 雩喵科学探测器,17,3,2.588235294117647,70.58823529411765,44.0,17,2.5555555555555554,17.65,Interplanetary Cinematics (breakthrough) + 雩喵科学探测器
Inventrix (breakthrough) + 雩喵科学探测器,17,2,2.588235294117647,77.82352941176471,44.0,17,2.5555555555555554,11.76,Inventrix (breakthrough) + 雩喵科学探测器
Point Luna + 🌸Weyland Yutani🌸,17,2,2.588235294117647,82.3529411764706,44.0,17,2.5555555555555554,11.76,Point Luna + 🌸韦兰德-尤坦尼集团🌸
Teractor (breakthrough) + 🌸Scolex Industries🌸,17,4,2.588235294117647,77.0,44.0,17,2.5555555555555554,23.53,Teractor (breakthrough) + 🌸星核工业🌸
Spire + 雩喵科学探测器,26,7,2.576923076923077,80.5,67.0,26,2.5555555555555554,26.92,Spire + 雩喵科学探测器
Inventrix (breakthrough) + Valley Trust (breakthrough),24,4,2.5833333333333335,76.04166666666667,62.0,24,2.5588235294117645,16.67,Inventrix (breakthrough) + Valley Trust (breakthrough)
Valley Trust (breakthrough) + 🌸PoliticalReform🌸,15,3,2.6,71.8,39.0,15,2.56,20.0,Valley Trust (breakthrough) + 🌸制度改革🌸
Manutech + Teractor (breakthrough),15,3,2.6,79.26666666666667,39.0,15,2.56,20.0,Manutech + Teractor (breakthrough)
🌸Ark Nova🌸 + 🌸RDA🌸,13,4,2.6153846153846154,76.92307692307692,34.0,13,2.5652173913043477,30.77,🌸方舟动物园🌸 + 🌸RDA🌸
Celestic (breakthrough) + 🌸Green Ring🌸,13,3,2.6153846153846154,83.61538461538461,34.0,13,2.5652173913043477,23.08,Celestic (breakthrough) + 🌸绿环🌸
Arklight (breakthrough) + 🌸Ark Nova🌸,82,20,2.573170731707317,109.84146341463415,211.0,82,2.5652173913043477,24.39,Arklight (breakthrough) + 🌸方舟动物园🌸
Interplanetary Cinematics (breakthrough) + Prism,20,8,2.6,96.75,52.0,20,2.566666666666667,40.0,Interplanetary Cinematics (breakthrough) + 棱镜光谱研究室
Valley Trust (breakthrough) + 雩喵科学探测器,41,12,2.5853658536585367,87.34146341463415,106.0,41,2.5686274509803924,29.27,Valley Trust (breakthrough) + 雩喵科学探测器
🌸Energy Saving Ecology🌸 + 🌸Mining Corp🌸,11,2,2.6363636363636362,79.18181818181819,29.0,11,2.5714285714285716,18.18,🌸节能生态🌸 + 🌸钢铁精炼🌸
Prism + 🌸Tyrell🌸,18,6,2.611111111111111,90.94444444444444,47.0,18,2.5714285714285716,33.33,棱镜光谱研究室 + 🌸泰瑞尔公司🌸
