user_id,prelude_name,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
cec0e3f37580,Early Colonization,3,0,7,0.0,2.333,hikaru,早期殖民,早期殖民
cec0e3f37580,Huge Asteroid,2,1,3,50.0,1.5,hikaru,巨型小行星,巨型小行星
cec0e3f37580,Io Research Outpost,5,1,14,20.0,2.8,hikaru,木卫一研究前哨,木卫一研究前哨
cec0e3f37580,Martian Industries,2,1,5,50.0,2.5,hikaru,火星工业,火星工业
cec0e3f37580,Mohole,2,0,4,0.0,2.0,hikaru,超深钻探,超深钻探
cec0e3f37580,Orbital Construction Yard,2,0,7,0.0,3.5,hikaru,轨道建造场,轨道建造场
cec0e3f37580,Project Eden,7,4,11,57.14,1.571,hikaru,伊甸园计划,伊甸园计划
cec0e3f37580,Research Network,3,0,6,0.0,2.0,hikaru,研究网络,研究网络
cec0e3f37580,SF Memorial,4,1,7,25.0,1.75,hikaru,SF纪念碑,SF纪念碑
cec0e3f37580,Soil Bacteria,2,1,4,50.0,2.0,hikaru,土壤细菌,土壤细菌
cec0e3f37580,Supplier,2,0,7,0.0,3.5,hikaru,供应商,供应商
cec0e3f37580,Supply Drop,5,0,13,0.0,2.6,hikaru,空投补给,空投补给
cec0e3f37580,UNMI Contractor,4,2,8,50.0,2.0,hikaru,UNMI 承包商,UNMI 承包商
d31b527e4ef7,Project Eden,2,0,7,0.0,3.5,fengling,伊甸园计划,伊甸园计划
d6b023ce7046,Venus Contract,2,1,4,50.0,2.0,shorst,金星合同,金星合同
d785f217ef6a,Acquired Space Agency,2,0,6,0.0,3.0,小音,收购太空总署,收购太空总署
d785f217ef6a,Aquifer Turbines,3,1,5,33.33,1.667,小音,含水层涡轮机,含水层涡轮机
d785f217ef6a,Double Down,3,0,9,0.0,3.0,小音,双倍下注,双倍下注
d785f217ef6a,Early Colonization,3,0,7,0.0,2.333,小音,早期殖民,早期殖民
d785f217ef6a,Loan,3,1,7,33.33,2.333,小音,贷款,贷款
d785f217ef6a,Metal-Rich Asteroid,4,3,6,75.0,1.5,小音,富含金属的小行星,富含金属的小行星
d785f217ef6a,Mining Operations,3,0,8,0.0,2.667,小音,采矿作业,采矿作业
d785f217ef6a,New Partner,3,1,7,33.33,2.333,小音,新合伙人,新合伙人
d785f217ef6a,Orbital Construction Yard,2,0,5,0.0,2.5,小音,轨道建造场,轨道建造场
d785f217ef6a,SF Memorial,3,0,7,0.0,2.333,小音,SF纪念碑,SF纪念碑
d785f217ef6a,Self-Sufficient Settlement,3,0,9,0.0,3.0,小音,自给自足的据点,自给自足的据点
d785f217ef6a,Space Lanes,3,1,7,33.33,2.333,小音,太空航道,太空航道
d785f217ef6a,Suitable Infrastructure,3,1,7,33.33,2.333,小音,适宜基础设施,适宜基础设施
d785f217ef6a,Supply Drop,3,0,10,0.0,3.333,小音,空投补给,空投补给
d785f217ef6a,Terraforming Deal,2,0,6,0.0,3.0,小音,地球化交易,地球化交易
d785f217ef6a,UNMI Contractor,2,0,5,0.0,2.5,小音,UNMI 承包商,UNMI 承包商
d9a8b3f4fe62,Donation,3,2,6,66.67,2.0,no3c,捐赠,捐赠
d9a8b3f4fe62,Double Down,2,1,5,50.0,2.5,no3c,双倍下注,双倍下注
d9a8b3f4fe62,Metal-Rich Asteroid,2,2,2,100.0,1.0,no3c,富含金属的小行星,富含金属的小行星
d9a8b3f4fe62,Research Network,2,1,5,50.0,2.5,no3c,研究网络,研究网络
dddf58451851,Acquired Space Agency,4,3,5,75.0,1.25,等七月の雪,收购太空总署,收购太空总署
dddf58451851,Donation,3,2,6,66.67,2.0,等七月の雪,捐赠,捐赠
dddf58451851,Loan,5,2,10,40.0,2.0,等七月の雪,贷款,贷款
dddf58451851,New Partner,2,2,2,100.0,1.0,等七月の雪,新合伙人,新合伙人
dddf58451851,SF Memorial,4,3,6,75.0,1.5,等七月の雪,SF纪念碑,SF纪念碑
dddf58451851,Supply Drop,3,1,6,33.33,2.0,等七月の雪,空投补给,空投补给
de3baec74952,Acquired Space Agency,11,6,19,54.55,1.727,aipotu,收购太空总署,收购太空总署
de3baec74952,Aquifer Turbines,3,2,4,66.67,1.333,aipotu,含水层涡轮机,含水层涡轮机
de3baec74952,Donation,3,0,8,0.0,2.667,aipotu,捐赠,捐赠
de3baec74952,Double Down,7,3,16,42.86,2.286,aipotu,双倍下注,双倍下注
de3baec74952,Early Colonization,3,1,6,33.33,2.0,aipotu,早期殖民,早期殖民
de3baec74952,Experimental Forest,4,2,10,50.0,2.5,aipotu,实验林场,实验林场
de3baec74952,Galilean Mining,5,2,11,40.0,2.2,aipotu,伽利略矿业,伽利略矿业
de3baec74952,Io Research Outpost,2,1,3,50.0,1.5,aipotu,木卫一研究前哨,木卫一研究前哨
de3baec74952,Loan,12,2,30,16.67,2.5,aipotu,贷款,贷款
de3baec74952,Martian Industries,2,2,2,100.0,1.0,aipotu,火星工业,火星工业
de3baec74952,Metal-Rich Asteroid,9,3,23,33.33,2.556,aipotu,富含金属的小行星,富含金属的小行星
de3baec74952,New Partner,3,1,7,33.33,2.333,aipotu,新合伙人,新合伙人
de3baec74952,Orbital Construction Yard,5,2,8,40.0,1.6,aipotu,轨道建造场,轨道建造场
de3baec74952,Power Generation,4,1,9,25.0,2.25,aipotu,发电,发电
de3baec74952,SF Memorial,7,3,14,42.86,2.0,aipotu,SF纪念碑,SF纪念碑
