card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Adaptation Technology,425,267,1.371764705882353,206.68235294117648,583.0,425,0.0,1.3802197802197802,62.82,适应性技术,适应性技术
Floating Refinery,588,368,1.3741496598639455,197.4268707482993,808.0,588,4.215986394557823,1.3802588996763754,62.59,漂浮精炼厂,漂浮精炼厂
Lunar Beam,359,226,1.3704735376044568,198.86629526462394,492.0,359,0.0,1.3804627249357326,62.95,月球射线,月球射线
Black Polar Dust,196,125,1.3622448979591837,189.16326530612244,267.0,196,0.0,1.3805309734513274,63.78,黑色的极地尘埃,黑色的极地尘埃
Space Station,705,440,1.375886524822695,185.68085106382978,970.0,705,0.0,1.380952380952381,62.41,空间站,空间站
Water Import From Europa,600,375,1.375,202.23166666666665,825.0,600,0.0,1.380952380952381,62.5,从欧罗巴(木卫二)注入水源,从欧罗巴(木卫二)注入水源
Caretaker Contract,180,115,1.3611111111111112,238.31666666666666,245.0,180,0.0,1.380952380952381,63.89,监护合约,监护合约
Kaguya Tech,621,388,1.3752012882447664,184.2657004830918,854.0,621,0.0,1.380952380952381,62.48,辉夜科技,辉夜科技
Geological Survey,332,209,1.3704819277108433,194.97590361445782,455.0,332,0.0,1.3812154696132597,62.95,地质调查,地质调查
Research Outpost,741,462,1.3765182186234817,184.69095816464238,1020.0,741,0.0,1.3813229571984436,62.35,科研前哨站,科研前哨站
Soil Enrichment,518,324,1.3745173745173744,191.7972972972973,712.0,518,0.0,1.3813868613138687,62.55,土壤改良,土壤改良
Ceres Tech Market,615,384,1.3756097560975609,194.37073170731708,846.0,615,0.0,1.3813953488372093,62.44,谷神星科技市场,谷神星科技市场
Solar Farm,447,280,1.3736017897091723,178.67561521252796,614.0,447,0.0,1.3815513626834381,62.64,太阳能农场,太阳能农场
Mohole Lake,350,220,1.3714285714285714,195.21714285714285,480.0,350,0.0,1.381578947368421,62.86,莫霍湖,莫霍湖
Magnetic Shield,431,270,1.3735498839907192,209.73317865429235,592.0,431,0.0,1.3817787418655099,62.65,磁屏,磁屏
Energy Market,564,352,1.375886524822695,188.88652482269504,776.0,564,0.0,1.3821548821548821,62.41,能源市场,能源市场
Thermophiles,454,284,1.3744493392070485,200.93612334801762,624.0,454,1.1013215859030836,1.3822314049586777,62.56,嗜热菌,嗜热菌
Martian Repository,310,195,1.3709677419354838,213.13870967741934,425.0,310,19.503225806451614,1.3823529411764706,62.9,火星仓库,火星仓库
Pollinators,221,140,1.3665158371040724,212.7420814479638,302.0,221,5.597285067873303,1.3824701195219125,63.35,授粉者,授粉者
Protected Valley,471,294,1.375796178343949,195.09978768577494,648.0,471,0.0,1.3832335329341316,62.42,受保护的山脉,受保护的山脉
Lunar Steel,257,162,1.3696498054474708,201.3929961089494,352.0,257,0.0,1.3832752613240418,63.04,月钢,月钢
Ecological Zone,150,96,1.36,167.61333333333334,204.0,150,10.966666666666667,1.3833333333333333,64.0,生态保护区,生态保护区
Communication Center,395,247,1.3746835443037975,195.63797468354431,543.0,395,0.9493670886075949,1.383529411764706,62.53,通讯中心,通讯中心
Border Checkpoint,520,324,1.376923076923077,200.5,716.0,520,0.0,1.3836363636363636,62.31,边境检查站,边境检查站
Nuclear Zone,129,83,1.3565891472868217,149.89147286821705,175.0,129,0.0,1.3836477987421383,64.34,核爆辐射区,核爆辐射区
Space Relay,439,274,1.3758542141230068,186.87927107061503,604.0,439,0.0,1.3837953091684434,62.41,太空中继站,太空中继站
